"location","indicator","Unit","Date","Value"
"California","Cost of Living Index","Index, High=High cost of living","1972","21.13766"
"California","Cost of Living Index","Index, High=High cost of living","1973","22.88993"
"California","Cost of Living Index","Index, High=High cost of living","1974","25.56358"
"California","Cost of Living Index","Index, High=High cost of living","1975","28.07721"
"California","Cost of Living Index","Index, High=High cost of living","1976","29.70607"
"California","Cost of Living Index","Index, High=High cost of living","1977","33.31348"
"California","Cost of Living Index","Index, High=High cost of living","1978","36.88478"
"California","Cost of Living Index","Index, High=High cost of living","1979","41.40475"
"California","Cost of Living Index","Index, High=High cost of living","1980","46.62713"
"California","Cost of Living Index","Index, High=High cost of living","1981","51.98222"
"California","Cost of Living Index","Index, High=High cost of living","1982","54.95286"
"California","Cost of Living Index","Index, High=High cost of living","1983","57.06974"
"California","Cost of Living Index","Index, High=High cost of living","1984","58.7341"
"California","Cost of Living Index","Index, High=High cost of living","1985","60.28482"
"California","Cost of Living Index","Index, High=High cost of living","1986","61.86419"
"California","Cost of Living Index","Index, High=High cost of living","1987","64.30775"
"California","Cost of Living Index","Index, High=High cost of living","1988","68.54836"
"California","Cost of Living Index","Index, High=High cost of living","1989","73.17209"
"California","Cost of Living Index","Index, High=High cost of living","1990","80.30186"
"California","Cost of Living Index","Index, High=High cost of living","1991","82.25719"
"California","Cost of Living Index","Index, High=High cost of living","1992","83.87888"
"California","Cost of Living Index","Index, High=High cost of living","1993","85.36014"
"California","Cost of Living Index","Index, High=High cost of living","1994","86.84074"
"California","Cost of Living Index","Index, High=High cost of living","1995","88.60326"
"California","Cost of Living Index","Index, High=High cost of living","1996","90.44816"
"California","Cost of Living Index","Index, High=High cost of living","1997","91.93829"
"California","Cost of Living Index","Index, High=High cost of living","1998","93.19773"
